Comment,Designator,Footprint,LCSC,Quantity
0Ohm,"R101,R102",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17888,2
10uF,"C101,C102,C103,C406",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C89632,4
1uF,C302,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28323,1
22uF,C404,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C12891,1
484050003,J103,CONN_484050003_MOL,C6058327,1
SMAJ58A,"D101,D201",D_SMA,C151246,2
PJ-102AH,J102,CUI_PJ-102AH,,1
7499511002A,J201,T_Wurth_WE-RJ45LAN_7499511002A,,1
436500403,J101,MOLEX_436500403,,1
AG5712-LPB,U201,MODULE_AG5712-LPB,,1
GND,TP403,TestPoint_Pad_D1.5mm,,1
V8,TP401,TestPoint_Pad_D1.5mm,,1
GND,TP302,TestPoint_Pad_D1.5mm,,1
V12,TP301,TestPoint_Pad_D1.5mm,,1
1.34kOhm,R402,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
2.49kOhm,R401,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
DNP,R301,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
I6A24014A033V-002-R,PS401,CONV_I6A24014A033V-002-R,,1
ULS-12_5-D48N-C,PS301,CONV_ULS-12_5-D48N-C,,1
OKL2-T_6-W12N-C,MD401,MURATA_OKL2-T-6-W12N-C_0,,1
PJ-102AH,J401,CUI_PJ-102AH,,1
FerriteBead,FB101,FB_Wurth_WE-CBF-1206_W5.2,,1
10uF,C405,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,1
22uF,C403,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,1
0.1 uF,C402,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
100 uF,C401,CP_Elec_6.3x5.8,,1
10uF,C301,CP_Elec_6.3x5.4,,1
470uF,C204,CP_Elec_8x6.5,,1
10uF,C203,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,1
1uF,C202,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
10nF,C201,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,1
Hirose DF40C-100DS-0.4V,J501,Radxa_CM5,,1
484050003,J104,CONN_484050003_MOL,,1
1050170001,J105,USB_Micro_B_Female_1050170001,,1
Conn_01x02_Pin,J601,PinHeader_1x02_P2.54mm_Vertical,,1
SW_Push,SW501,SW_SPST_EVQP7A,,1
V5,TP402,TestPoint_Pad_D1.5mm,,1
PoE+,TP202,TestPoint_Pad_D1.5mm,,1
PoE-,TP201,TestPoint_Pad_D1.5mm,,1
ABS10,BR201,SOT200P640X160-4N,,1
ABS10,BR202,SOT200P640X160-4N,,1
